PlateNumber,Colour,BuildType,MakeModel,YearOfManufacture,VehicleType,StolenDate,PoliceDistrict
17ZPM,Black,Kawasaki,EX,2008,Roadbike,9/10/2025,Auckland City
180S8,Silver,Trailer,7X4,2021,Trailer,28/11/2025,Eastern
18N50,Grey,Trailer,HOMEMADE,2002,Trailer,13/08/2025,Southern
19J65,Blue,Trailer,DOMESTIC,2018,Trailer,1/12/2025,Wellington
19PQW,Blue,Trailer,,1984,Boat Trailer,18/06/2025,Waikato
19UHR,Blue,PGO,PMX,2000,Moped,6/07/2025,Auckland City
19Z34,Silver,Briford,TRAILER 8X4,2018,Trailer,17/10/2025,Counties/Manukau
1A827,Silver,Trailer,ROAD CHIEF TR84CS,2014,Trailer,27/06/2025,Waitemata
1AF60,Silver,Factory Built,TD42 HAULER,2025,Trailer,11/09/2025,Central
1AK60,Silver,Trailer,HIND CENTER,2025,Boat Trailer,19/07/2025,Counties/Manukau
1AM77,Silver,Trailer,BRENT SMITH,2019,Trailer,8/08/2025,Waitemata
1AQ94,Silver,Trailer,HOMEMADE,2003,Trailer,24/10/2025,Central
1B296,Silver,Trailer,DOMESTIC TRAILER,2014,Trailer,15/11/2025,Canterbury
1D297,Silver,Trailer,ROAD CHIEF,2014,Trailer,19/11/2025,Waitemata
1D758,Red,Homebuilt,FI GLASS,1975,Boat Trailer,23/09/2025,Canterbury
1.00E+153,Silver,Trailer,COMPASS FD126,2014,Trailer,8/10/2025,Northland
1E812,Silver,Factory Built,BRENT SMITH TRAILERS,2014,Trailer,30/07/2025,Central
1F630,Silver,Factory Built,CAGE TRAILER,2014,Trailer,21/09/2025,Northland
1K773,Silver,Trailer,LOCAL,2015,Trailer,15/10/2025,Central
1M728,Silver,Trailer,TRAYLA,2015,Trailer,20/09/2025,Wellington
1N763,Black,Trailer,HOMEBUILT,2014,Trailer,29/07/2025,Southern
1NAVI1,Black,Toyota,SAI,2014,Saloon,29/10/2025,Waitemata
1P345,White,Briford,8X4 SHUTTLE,2015,Trailer,11/11/2025,Canterbury
1PBO6I,White,Audi,A6,2011,Saloon,26/08/2025,Eastern
1S496,Silver,Factory Built,BRENT SMITH TRAILERS,2015,Trailer,21/07/2025,Wellington
1TONV,Silver,Nissan,200SX,1999,Sports Car,22/07/2025,Canterbury
1U924,White,Jayco,19-612SE,2015,Caravan,26/10/2025,Northland
202J8,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,28/06/2025,Waitemata
2034Z,Silver,Briford,TRAILER,2002,Trailer,14/11/2025,Counties/Manukau
204R5,Silver,Factory Built,BRENT SMITH TRAILERS,2021,Trailer,6/10/2025,Canterbury
208R5,White,Trailer,FOOD TRAILER,2022,Trailer,23/11/2025,Central
2154J,Silver,Trailer,KEA,1998,Trailer,7/07/2025,Northland
217U2,Silver,Trailer,BOAT TRAILER,2017,Boat Trailer,30/06/2025,Central
21D41,Grey,Kea,K844T,2016,Trailer,12/11/2025,Bay of Plenty
21WPB,Blue,Suzuki,SV1000S,2005,Roadbike,4/08/2025,Northland
223N6,Silver,Trailer,ROADCHIEF,2022,Trailer - Heavy,20/10/2025,Northland
227F2,Silver,Trailer,TRAYLA,2022,Trailer,12/11/2025,Central
22F29,Cream,Zephyr,390A,1986,Caravan,22/06/2025,Bay of Plenty
22ZCS,Red,Harley Davidson,FXSTDI,2004,Roadbike,25/07/2025,Counties/Manukau
22ZDS,Black,Suzuki,VL800,2008,Roadbike,1/10/2025,Waitemata
22ZYG,Black,Kawasaki,ELIMINATOR,1993,Roadbike,17/06/2025,Canterbury
231W6,Silver,Trailer,BATESON PT66,2022,Trailer,4/09/2025,Northland
231W7,Silver,Trailer,BATESON PT66,2022,Trailer,8/09/2025,Bay of Plenty
234Y3,Silver,Trailer,BSTB74,2022,Trailer,5/11/2025,Counties/Manukau
23G24,Silver,Trailer,LOCAL,2018,Trailer,16/07/2025,Auckland City
23M27,Silver,Trailer,TUFF,2018,Trailer,14/07/2025,Waikato
243Y9,Grey,Trailer,TANDEM,2022,Trailer,25/11/2025,Wellington
244F2,Silver,Trailer,BRIFORD 8X4 1999KG,2022,Trailer,7/06/2025,Southern
244ZF,Blue,Trailer,HOMEMADE,1976,Trailer,22/09/2025,Canterbury
24A98,Silver,Trailer,3 TON FLAT DECK,2019,Trailer,17/11/2025,Bay of Plenty
24N25,Grey,Trailer,TANDEM,1999,Trailer,31/10/2025,Bay of Plenty
252T8,Silver,Trailer,TRAILER WORLD CUSTOM,2022,Trailer,21/07/2025,Waitemata
25G58,Silver,Factory Built,CONCEPT TRAILERS,2018,Trailer,25/11/2025,Waikato
25J84,Silver,Trailer,WATER BLASTER,2019,Trailer,20/10/2025,Canterbury
263B5,Silver,Factory Built,TRAILUX TRAILER,2022,Trailer,10/09/2025,Canterbury
26F94,Pink,Homebuilt,TRAILER,2019,Trailer,7/06/2025,Auckland City
26QMP,Blue,Maynes,,1987,Trailer,14/08/2025,Canterbury
271D4,Silver,Trailer,CHOOKS 8X2.4 3.5T,2022,Trailer,1/07/2025,Central
273G9,Grey,Briford,TANDEM,2013,Trailer,18/08/2025,Canterbury
276M2,Silver,Trailer,AVALON,2022,Trailer,9/09/2025,Eastern
27Z68,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,28/10/2025,Wellington
27ZLY,Black,Triumph,BONNEVILLE,2003,Roadbike,23/06/2025,Counties/Manukau
286F6,Black,Homebuilt,FLAT-DECK TRAILER,2023,Trailer,13/10/2025,Counties/Manukau
28C58,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,22/10/2025,Bay of Plenty
28J79,Silver,Trailer,JET SKI,2019,Boat Trailer,29/09/2025,Northland
294Y8,Silver,Factory Built,BRENT SMITH TRAILERS,2022,Trailer,2/09/2025,Waitemata
295N4,Silver,Trailer,GIBBONS,2022,Trailer,5/12/2025,Waikato
29DDG,Blue,Trailer,NZ,1971,Trailer,22/07/2025,Northland
29Q46,Silver,Trailer,EVOLUTION TANDEM,2019,Trailer,26/08/2025,Eastern
29ZPH,Red,Aprilia,RSV,2006,Roadbike,26/10/2025,Bay of Plenty
2A684,Silver,Trailer,VALUE CARS 8X4,2015,Trailer,21/11/2025,Canterbury
2AD52,Silver,Trailer,FUTURA PRO SPORT,2025,Trailer,19/07/2025,Canterbury
2C706,Black,Trailer,SCUNGE BUILT,2015,Trailer,31/10/2025,Bay of Plenty
2F735,Silver,Trailer,TRAYLA,2015,Trailer,30/08/2025,Central
2F861,Silver,Briford,TRAILER 8X4,2015,Trailer,6/08/2025,Auckland City
2H829,Silver,Briford,8X4 TANDEM,2015,Trailer,2/09/2025,Canterbury
2J506,Silver,Trailer,7X4 HAULER,2015,Trailer,27/09/2025,Canterbury
2K481,Blue,Trailer,TRANSPORTER HOMEMADE,2015,Trailer,8/09/2025,Waikato
2K993,Silver,Trailer,TRAILER PRO,2015,Trailer,4/12/2025,Waikato
2L396,Grey,Trailer,BOAT,1990,Boat Trailer,1/09/2025,Northland
2L782,Silver,Briford,TRAILER,2015,Trailer - Heavy,29/10/2025,Counties/Manukau
2M594,White,Trailer,HOMEBUILT,2015,Trailer,10/06/2025,Waikato
2M603,Black,Trailer,HOME BUILT,2015,Trailer,18/11/2025,Southern
2N539,Silver,Trailer,CURISER,2015,Trailer,26/06/2025,Central
2N846,Silver,Trailer,TUI TIPPER,2015,Trailer,12/11/2025,Wellington
2P469,White,Trailer,SUNSHINE,2015,Trailer,22/10/2025,Northland
2Q433,Grey,Trailer,TANDEM,2012,Trailer,5/10/2025,Waikato
2Q971,Silver,Homebuilt,TRAILER,2015,Trailer,25/07/2025,Waikato
2R257,Silver,Kea,KCTS,2015,Trailer,28/10/2025,Waikato
2R493,Silver,Briford,TRAILER,2015,Trailer - Heavy,21/08/2025,Auckland City
2S414,Grey,Trailer,HOMEBUILT,2007,Boat Trailer,11/07/2025,Bay of Plenty
2U294,Silver,Trailer,ELITE 8X5,2015,Trailer,3/08/2025,Canterbury
2W967,Silver,Briford,TRAILER,2015,Trailer - Heavy,25/08/2025,Northland
2W971,Silver,Briford,TRAILER,2015,Trailer - Heavy,20/09/2025,Waitemata
300J1,Grey,Trailer,HOMEBUILD,2010,Trailer - Heavy,18/08/2025,Waitemata
300M7,Silver,Trailer,VULCAN,2022,Trailer,29/07/2025,Counties/Manukau
304QN,Grey,Trailer,HOMEMADE,1971,Boat Trailer,24/07/2025,Waikato
30L54,Silver,Trailer,DOMESTIC,2019,Trailer,4/09/2025,Counties/Manukau
30R63,Silver,Kea,K745A,2019,Trailer,19/07/2025,Waikato
30YCH,Black,Yamaha,CV50AV,2006,Moped,20/10/2025,Wellington
311M4,Silver,Trailer,BRIAN JAMES DIGGER,2022,Trailer,30/07/2025,Counties/Manukau
312T9,Green,Trailer,HOME MADE,2022,Trailer,30/07/2025,Central
312W8,Silver,Factory Built,BRENT SMITH TRAILERS,2022,Trailer,3/11/2025,Wellington
314Q3,Silver,Trailer,DOMESTIC,2022,Trailer,17/06/2025,Auckland City
317Y3,Silver,Trailer,ELITE 8X4,2022,Trailer,1/12/2025,Canterbury
319AW,Black,Briford,8X4,2002,Trailer,17/06/2025,Wellington
319G6,Silver,Trailer,ROAD CHIEF,2022,Trailer,13/09/2025,Counties/Manukau
31D18,White,Trailer,LIGHT TOWER,2019,Trailer - Heavy,20/10/2025,Counties/Manukau
31R39,Grey,Trailer,PS,2019,Trailer - Heavy,3/11/2025,Counties/Manukau
31U80,Blue,Hammar,195S,2019,Trailer - Heavy,5/10/2025,Counties/Manukau
3234U,White,Caravan,LITE WEIGHT,1975,Caravan,13/11/2025,Northland
323F3,Silver,Trailer,TRADETESTED,2022,Trailer,12/06/2025,Auckland City
324Z7,Silver,Trailer,HOMEMADE,2022,Trailer,2/07/2025,Waitemata
328Y3,Silver,Titan,DOMESTIC TRAILER,2022,Trailer,6/11/2025,Eastern
333AG,Brown,Trailer,DOMESTIC,1979,Trailer,30/11/2025,Canterbury
333K6,Silver,Trailer,CAR DOLLY,2022,Trailer,20/06/2025,Counties/Manukau
33W24,Grey,Trailer,SMITHBUILT,2019,Trailer,22/07/2025,Canterbury
33Y54,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,10/08/2025,Bay of Plenty
33ZFQ,Black,Moped,VMOTO MONZA,2008,Moped,12/07/2025,Waitemata
342C3,Silver,Trailer,BST 2022D,2022,Trailer,14/10/2025,Waitemata
343C9,Black,Homebuilt,FLAT DECK,2022,Trailer,26/11/2025,Canterbury
344F1,White,KIWIAZ,TRAILER,2022,Trailer,4/08/2025,Bay of Plenty
344F5,White,KIWIAZ,TRAILER,2022,Trailer,5/08/2025,Bay of Plenty
346LS1,Red,Holden,COMMODORE,2003,Saloon,17/09/2025,Southern
349S1,Silver,Condor,FACTORY BUILD,2022,Trailer,16/06/2025,Waitemata
34T89,Silver,Trailer,JOB MATE,2019,Trailer,6/10/2025,Waikato
354K6,Silver,Trailer,BSTB84,2022,Trailer,20/08/2025,Auckland City
35DKN,White,Zephyr,CARAVAN,1976,Caravan,1/07/2025,Canterbury
362A8,Silver,Homebuilt,TRAILER,2022,Trailer,8/09/2025,Wellington
364K9,Green,Homebuilt,TRAILER,2022,Trailer,21/06/2025,Central
365C6,Silver,Trailer,VULCAN,2022,Trailer,19/10/2025,Central
369B9,Silver,Trailer,HOMEMADE,2018,Trailer,11/11/2025,Canterbury
36G78,Brown,Classic,4.0M CARAVAN,1981,Caravan,25/10/2025,Waikato
36H95,Silver,Trailer,TOKO,2017,Trailer,29/09/2025,Canterbury
36J70,Grey,Trailer,DUNBIER,2000,Trailer,19/10/2025,Waikato
3770E,Silver,Trailer,CAPSTICK,1996,Trailer,21/08/2025,Central
37UYG,Black,Harley Davidson,SOFTAIL,2003,Roadbike,17/11/2025,Wellington
386Y3,Black,Homebuilt,TRAILER,2022,Trailer,6/08/2025,Canterbury
38GBY,White,Caravan,335 NOMAD,1978,Caravan,19/08/2025,Canterbury
38W81,Silver,Trailer,DMW,2019,Boat Trailer,13/07/2025,Northland
38Y,Silver,Trailer,KEA K645W,2001,Trailer,22/10/2025,Northland
393R4,Grey,Trailer,HOMEBUILT,2022,Trailer,25/09/2025,Waikato
396D3,Silver,Trailer,TANDEM,2022,Trailer,24/08/2025,Canterbury
39700,Grey,Trailer,HOMEBUILT,2022,Trailer,8/10/2025,Waitemata
397T6,Silver,Factory Built,HYDE ENGINEERING,2022,Trailer,28/10/2025,Central
39P16,Silver,Trailer,TRAYLA,2015,Trailer,2/10/2025,Central
39T61,Silver,Briford,CAGE TRAILER,2019,Trailer,24/10/2025,Auckland City
39T86,Grey,Trailer,TANK,2019,Trailer,28/07/2025,Canterbury
3AL12,Silver,Trailer,TRANSPORTER FLATDECK,2025,Trailer,30/06/2025,Waikato
3AP41,Orange,Homebuilt,SKIP,2025,Trailer - Heavy,28/07/2025,Auckland City
3AR65,Silver,Trailer,BST84,2025,Trailer,7/07/2025,Counties/Manukau
3AS58,Silver,Trailer,ELITE 8X5 R/O,2025,Trailer,25/07/2025,Waikato
3F685,Grey,Trailer,BRIFORD,1998,Trailer,3/09/2025,Wellington
3M940,Grey,Trailer,RCNZ,2015,Trailer,31/10/2025,Central
3P958,Black,Trailer,FLAT-DECK TRAILER,2007,Trailer,17/11/2025,Waitemata
3R726,Silver,Titan,8X4 SINGLE,2016,Trailer,19/11/2025,Bay of Plenty
3W479,Silver,Trailer,DIAMOND,2016,Trailer,12/06/2025,Auckland City
3Y228,White,Trailer,KUSTOM WORX,2016,Trailer,7/10/2025,Waitemata
3Z540,Silver,Trailer,ASD JET SKI,2016,Boat Trailer,13/07/2025,Counties/Manukau
3Z600,Silver,Trailer,ENDURO,2016,Boat Trailer,1/10/2025,Waitemata
3Z614,Orange,Trailer,DATA SIGNS VMS,2016,Trailer - Heavy,8/07/2025,Northland
408A4,Silver,Trailer,JETSKI,2022,Boat Trailer,15/11/2025,Counties/Manukau
412W9,White,Trailer,BERFORD 8X4 SHUTTLE,2010,Trailer,3/11/2025,Wellington
4169Z,Silver,Trailer,HESS,2002,Trailer,21/11/2025,Central
418R7,Silver,Trailer,PRESCOTT,2022,Trailer,22/06/2025,Bay of Plenty
41K63,Silver,Trailer,ELITE 10X5,2019,Trailer,6/11/2025,Canterbury
4.20E+81,Blue,Homebuilt,SINGLE AXLE,2019,Trailer,5/08/2025,Counties/Manukau
42G68,Silver,Trailer,ELITE 8X4 HDS,2019,Trailer,11/11/2025,Southern
42H93,Silver,Trailer,ELITE 8X4,2019,Trailer,27/10/2025,Wellington
42K25,Grey,Trailer,DOMESTIC,2019,Trailer,25/07/2025,Waikato
4320S,Blue,Trailer,LOCAL,1977,Trailer,3/08/2025,Waikato
433Q2,Silver,Trailer,BRIAN JAMES PLANT 2,2022,Trailer,6/10/2025,Auckland City
43F,Brown,Homebuilt,TANDEM,1985,Trailer - Heavy,23/11/2025,Canterbury
43W78,Grey,Briford,8X4 TANDEM,2019,Trailer,11/11/2025,Canterbury
43ZNS,Green,Kawasaki,EX,2008,Roadbike,4/12/2025,Wellington
441P7,Silver,Kea,KCTTT,2022,Trailer,16/06/2025,Waikato
4426Y,Silver,Factory Built,BRENT SMITH TRAILERS,2001,Trailer,19/08/2025,Bay of Plenty
444F7,Silver,Trailer,COMPASS CDT 1500,2022,Trailer,11/07/2025,Waitemata
4478X,,,,0,,22/09/2025,Waitemata
44G89,Silver,Kea,K85SE,2019,Trailer,18/09/2025,Counties/Manukau
44K65,Grey,Briford,DOMESTIC TRAILER,2019,Trailer,18/08/2025,Canterbury
44WPL,Red,Massey-Ferguson,6265,2005,Tractor,9/07/2025,Waikato
450L9,Silver,Kea,KC1268,2022,Trailer,7/07/2025,Waikato
451N4,Black,Trailer,BOXX,2022,Trailer,5/12/2025,Wellington
452S7,Grey,Trailer,TUI TRAILERS,2022,Trailer,22/06/2025,Waikato
452Y6,Silver,Trailer,BRIAN JAMES PLANT 2,2022,Trailer,28/08/2025,Waikato
453N9,Grey,Trailer,LOCAL,2023,Trailer - Heavy,21/07/2025,Bay of Plenty
455N1,Silver,Pinto,BR TAN 10X5,2022,Trailer,13/11/2025,Auckland City
456W2,Silver,Trailer,DOMESTIC,2022,Trailer,26/09/2025,Waitemata
4589H,Silver,Pinto,WELLSIDE,1997,Trailer,9/09/2025,Waitemata
45J46,Silver,Trailer,JETSEEKER,2019,Boat Trailer,18/07/2025,Central
461000,Silver,Trailer,HOMEBUILT,2022,Trailer,28/07/2025,Northland
461L8,Blue,Trailer,UTILITY,2012,Trailer,3/10/2025,Canterbury
463QX,Pink,Trailer,LOCAL,1971,Trailer - Heavy,11/11/2025,Wellington
4682B,Silver,Trailer,JET SKI,1996,Boat Trailer,22/09/2025,Waikato
46ZEM,Blue,Kawasaki,ZR,2008,Roadbike,28/11/2025,Wellington
4729Z,Silver,Homebuilt,TRAILER,2000,Trailer,15/09/2025,Waitemata
477G7,Silver,Trailer,ALLROAD PREMIUM,2022,Trailer,18/08/2025,Central
479P3,White,Trailer,HOMEBUILT,2022,Trailer - Heavy,14/06/2025,Counties/Manukau
47USI,Black,Kawasaki,ZX,1991,Roadbike,11/08/2025,Counties/Manukau
47ZJC,Black,Suzuki,UZ50,2008,Moped,30/08/2025,Waikato
4813J,Silver,Trailer,O'LEARY,1998,Trailer,1/08/2025,Central
482A4,Silver,Trailer,TUFF,2022,Trailer,10/06/2025,Waikato
482N7,Silver,Trailer,H&W10X6 TANDEM,2023,Trailer,1/07/2025,Canterbury
485U8,Silver,Trailer,BST2022D,2022,Trailer,24/11/2025,Waitemata
48C27,Grey,Trailer,AKERS ENGINEERING,2019,Boat Trailer,4/08/2025,Bay of Plenty
48K15,White,Caravan,COMPASS MAGNUM,2004,Caravan,15/10/2025,Central
48L51,Silver,Trailer,BDC HOMES,2019,Trailer - Heavy,27/08/2025,Waikato
48ZBG,Black,Yamaha,VIRAGO,1990,Roadbike,5/08/2025,Counties/Manukau
493P6,Silver,Trailer,TUFF,2017,Trailer,31/10/2025,Waikato
4975I,Gold,Trailer,LOCAL,1971,Trailer,17/07/2025,Bay of Plenty
4986Y,Yellow,Total Transport,3A ST,2001,Trailer - Heavy,5/08/2025,Counties/Manukau
4987Y,Yellow,Total Transport,2A ST,2001,Trailer - Heavy,5/08/2025,Counties/Manukau
4A272,Silver,Trail-Lite,E.J ENG,2016,Trailer,1/10/2025,Central
4AA31,Silver,Trailer,TANDEM,2020,Trailer,3/11/2025,Bay of Plenty
4AK48,Grey,Factory Built,CABIN TRAILER,2025,Trailer,27/08/2025,Canterbury
4AS21,Silver,Trailer,BST 2025D,2025,Trailer,23/08/2025,Auckland City
4D424,White,Zephyr,S60,2016,Caravan,10/10/2025,Bay of Plenty
4H173,Silver,Trailer,VULCAN,2016,Trailer,7/09/2025,Waitemata
4H898,White,Trailer,8X4.6 FURNITURE,2016,Trailer - Heavy,22/07/2025,Auckland City
4J258,Silver,Trailer,FUTURA,2016,Trailer,18/07/2025,Bay of Plenty
4J598,Black,Trailer,DOMESTIC,2016,Trailer,17/06/2025,Bay of Plenty
4ZYC,Black,SYM,CITYCOM,2009,Roadbike,10/07/2025,Northland
50300000000,Silver,Trailer,UNIVERSAL,2023,Trailer - Heavy,28/07/2025,Waitemata
503Q7,Grey,Trailer,COMMERCIAL,2023,Trailer - Heavy,7/07/2025,Waikato
50G41,Silver,Trailer,TUFF,2019,Trailer,6/10/2025,Auckland City
50Q12,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,7/06/2025,Waikato
50Q36,Black,Trailer,BOAT,1980,Boat Trailer,20/06/2025,Waikato
50ZLH,Black,Yamaha,XC50W,2008,Moped,6/10/2025,Canterbury
511B6,Silver,Trailer,ELITE 8X4,2023,Trailer,29/07/2025,Canterbury
518P9,Silver,Trailer,TUFF,2023,Trailer,23/10/2025,Bay of Plenty
51EXD,Green,Trailer,SELRO HORSEF,1978,Trailer,23/11/2025,Eastern
51WUT,Blue,Suzuki,GSF1200S,2005,Roadbike,19/09/2025,Central
521AB,Red,Trailer,DOMESTIC,1995,Trailer,2/11/2025,Tasman
5299T,Silver,Trailer,FLAT-DECK,2001,Trailer,13/06/2025,Bay of Plenty
529D7,Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,27/07/2025,Waikato
52D55,Grey,Hoskings,BOAT TRAILER,2020,Boat Trailer,3/12/2025,Northland
52F44,Silver,Trailer,BOX 2019,2019,Trailer,30/06/2025,Waitemata
537B7,Silver,Trailer,ROAD CHIEF,2012,Boat Trailer,9/06/2025,Bay of Plenty
53A19,Silver,Factory Built,CONCEPT TRAILERS,2019,Trailer,2/09/2025,Central
53C61,Silver,Trailer,VULCAN,2019,Trailer,23/07/2025,Auckland City
53DKA,Blue,Trailer,HOMEMADE,1975,Trailer,21/10/2025,Bay of Plenty
53R79,Silver,Titan,DOMESTIC TRAILER,2020,Trailer,6/10/2025,Auckland City
541F9,Grey,Kea,TRAILER KC96,2023,Trailer,29/09/2025,Waikato
541Y7,Silver,Trailer,PRESCOTT TANDEM,2012,Trailer,8/08/2025,Eastern
542B5,Silver,Trailer,SAFARI,2023,Trailer,9/07/2025,Wellington
542K7,Grey,Trailer,I FOR WILLIAMS,2023,Trailer,23/10/2025,Waitemata
542P4,Silver,Trailer,HEAVEN,2023,Trailer,8/10/2025,Counties/Manukau
544C2,Silver,Titan,DOMESTIC TRAILER,2023,Trailer,6/12/2025,Waikato
547P8,Grey,Trailer,TUI TRAILERS,2023,Trailer,7/10/2025,Auckland City
549M7,Silver,Trailer,TRADETESTED,2023,Trailer,25/09/2025,Auckland City
549P8,Silver,Trailer,COMMERCIAL,2023,Trailer - Heavy,15/08/2025,Canterbury
54D67,Grey,Trailer,JOBMATE,2020,Trailer,4/10/2025,Waikato
54UTI,Black,Harley Davidson,SPORTSTER,1987,Roadbike,15/09/2025,Northland
550M4,White,Trailer,CUSTOM,2019,Trailer,2/07/2025,Tasman
5532S,Silver,Trailer,K744X2,2000,Trailer - Heavy,1/10/2025,Central
554A3,Silver,Trailer,HOMEBUILT,2023,Trailer,14/10/2025,Central
557J7,Silver,Briford,8X4 CAGE,2023,Trailer,6/10/2025,Auckland City
557K6,Silver,Briford,8X4 CAGE,2023,Trailer,2/09/2025,Counties/Manukau
55U78,Black,Briford,8X4 SHUTTLE,2008,Trailer,22/08/2025,Canterbury
55YNJ,Red,BMW,F800,2006,Roadbike,22/09/2025,Eastern
55YZD,White,Suzuki,GSXR,2000,Roadbike,26/09/2025,Waitemata
560BU,White,Trailer,BURCO,1962,Trailer,10/07/2025,Canterbury
56H45,Grey,Lochiel,TANDEM,2016,Trailer,19/11/2025,Tasman
56ZHG,Pink,Honda,NVS50 TODAY,2006,Moped,11/10/2025,Canterbury
56ZKH,Black,Moped,VMOTO MILAN,2008,Moped,9/08/2025,Waikato
571A5,Silver,Trailer,X-TRAILERS,2023,Trailer,6/08/2025,Waitemata
574C8,Silver,Trailer,ELITE 8X5 RO,2023,Trailer,4/10/2025,Canterbury
574M3,Black,Homebuilt,TRAILER,2023,Trailer,5/11/2025,Bay of Plenty
576C6,Silver,Briford,8X4 CAGE,2023,Trailer,3/11/2025,Counties/Manukau
57WJC,Blue,Kawasaki,ZR,2004,Roadbike,30/11/2025,Waikato
581B7,Black,Homebuilt,BOAT,2023,Boat Trailer,20/10/2025,Canterbury
581C8,Silver,Trailer,HOMEBUILT,2023,Trailer,8/06/2025,Waikato
5839F,Green,Trailer,PRESCOTT 6X4,1997,Trailer,24/07/2025,Waikato
585D7,White,Trailer,SIDECAR,2023,Trailer,13/07/2025,Central
587A2,Silver,Trailer,DOMESTIC TRAILER,2023,Trailer,17/09/2025,Counties/Manukau
587Z2,Grey,Trailer,COMMERCIAL,2023,Trailer - Heavy,14/07/2025,Auckland City
